race_id,place_ui,race_no,max_ev,race_label_ui
202605160801,京都,1,-0.9932641130649482,京都1R
202605160802,京都,2,-0.9876253103225788,京都2R
202605160803,京都,3,-0.9949835636404192,京都3R
202605160804,京都,4,-0.9845214870896944,京都4R
202605160805,京都,5,-0.980702964055852,京都5R
202605160806,京都,6,-0.9923368562448,京都6R
202605160807,京都,7,-0.9837772449091362,京都7R
202605160808,京都,8,-0.9717393867847142,京都8R
202605160809,京都,9,-0.998340138245639,京都9R
202605160810,京都,10,-0.9991246968028774,京都10R
202605160811,京都,11,-0.9976173753981116,京都11R
202605160812,京都,12,-0.9990419804166328,京都12R
202605160401,新潟,1,-0.9915276374889158,新潟1R
202605160402,新潟,2,-0.9843338858388032,新潟2R
202605160403,新潟,3,-0.9985650485501832,新潟3R
202605160404,新潟,4,-0.978344458247144,新潟4R
202605160405,新潟,5,-0.9973895180596998,新潟5R
202605160406,新潟,6,-0.9943417335615882,新潟6R
202605160407,新潟,7,-0.9989526620895126,新潟7R
202605160408,新潟,8,-0.985981614684014,新潟8R
202605160409,新潟,9,-0.9975486223752952,新潟9R
202605160410,新潟,10,-0.9909237259708328,新潟10R
202605160411,新潟,11,-0.9992593041395216,新潟11R
202605160412,新潟,12,-0.9971404043813188,新潟12R
202605160501,東京,1,-0.9978338322490532,東京1R
202605160502,東京,2,-0.9984846275985988,東京2R
202605160503,東京,3,-0.9964028349920396,東京3R
202605160504,東京,4,-0.991883664333333,東京4R
202605160505,東京,5,-0.9961766349674022,東京5R
202605160506,東京,6,-0.9720653086395684,東京6R
202605160507,東京,7,-0.9990185134524892,東京7R
202605160508,東京,8,-0.9904366829429452,東京8R
202605160509,東京,9,-0.9919652164518415,東京9R
202605160510,東京,10,-0.9922040198626896,東京10R
202605160511,東京,11,-0.9873830862534858,東京11R
202605160512,東京,12,-0.9973930551662068,東京12R
