race_id,place_ui,race_no,max_ev,race_label_ui
202605160801,京都,1,-0.9942825225169722,京都1R
202605160802,京都,2,-0.9885310801679896,京都2R
202605160803,京都,3,-0.9994217290956492,京都3R
202605160804,京都,4,-0.9960429466576174,京都4R
202605160805,京都,5,-0.988267465882764,京都5R
202605160806,京都,6,-0.9996709567752315,京都6R
202605160807,京都,7,-0.993753247181172,京都7R
202605160808,京都,8,-0.9647545720997606,京都8R
202605160809,京都,9,-0.9992785051097682,京都9R
202605160810,京都,10,-0.9975569428589192,京都10R
202605160811,京都,11,-0.99949823359756,京都11R
202605160812,京都,12,-0.9996529534982068,京都12R
202605160401,新潟,1,-0.985445471755936,新潟1R
202605160402,新潟,2,-0.9931091543833076,新潟2R
202605160403,新潟,3,-0.999348116647942,新潟3R
202605160404,新潟,4,-0.9879364188739588,新潟4R
202605160405,新潟,5,-0.99989278703712,新潟5R
202605160406,新潟,6,-0.9973072929026552,新潟6R
202605160407,新潟,7,-0.9993208954692784,新潟7R
202605160408,新潟,8,-0.9823575879973058,新潟8R
202605160409,新潟,9,-0.9978909013590525,新潟9R
202605160410,新潟,10,-0.9857214304316418,新潟10R
202605160411,新潟,11,-0.9993979327501774,新潟11R
202605160412,新潟,12,-0.9992791546867008,新潟12R
202605160501,東京,1,-0.9968147962114768,東京1R
202605160502,東京,2,-0.9901597685875416,東京2R
202605160503,東京,3,-0.995155657327542,東京3R
202605160504,東京,4,-0.9965850600777147,東京4R
202605160505,東京,5,-0.996843925481379,東京5R
202605160506,東京,6,-0.9893998582205392,東京6R
202605160507,東京,7,-0.9997824580328128,東京7R
202605160508,東京,8,-0.998828160876534,東京8R
202605160509,東京,9,-0.9860468761756976,東京9R
202605160510,東京,10,-0.9980702012541104,東京10R
202605160511,東京,11,-0.9952758685842612,東京11R
202605160512,東京,12,-0.9960544331496576,東京12R
