race_id,umaban_1,umaban_2,p_top3_1,p_top3_2,p_hit,odds,ev,bet_type,hit_prob,pair_balance_score,priority_score,stake,place_ui,race_ui,race_no,wide_ui,bet_score,selection_ui,max_ev,race_score,difficulty_score,comment,race_label_ui
202605100508,3,6,0.4686681051034461,0.6698775548206947,0.3877767340868915,5.0,0.9388836704344574,wide,0.3877767340868915,0.2182534886689378,0.4512519528662247,595,東京（日）,8R,8,3-6,0.7926623544908046,3-6,0.9388836704344574,0.6224995909747406,0.329432883138737,"勝負度が高めのレースです。 堅い決着が見込まれるレースです。 本命は 3-6。 EV=0.94, p_hit=0.388 とバランスが良好です。 次点候補は 2-6。 EV=0.51。 適度なリスクで、標準的な賭け方が適しています。",東京8R
202605100508,2,6,0.3834069016313668,0.6698775548206947,0.3016997204925009,5.0,0.5084986024625044,wide,0.3016997204925009,0.3043305022633284,0.3705620410951423,463,東京（日）,8R,8,2-6,0.6634823637739508,2-6,0.9388836704344574,0.6224995909747406,0.329432883138737,"勝負度が高めのレースです。 堅い決着が見込まれるレースです。 本命は 3-6。 EV=0.94, p_hit=0.388 とバランスが良好です。 次点候補は 2-6。 EV=0.51。 適度なリスクで、標準的な賭け方が適しています。",東京8R
202605100807,4,6,0.4038344006809509,0.5368403561496542,0.2958629477680943,5.0,0.4793147388404715,wide,0.2958629477680943,0.1375975629524386,0.3263954632037051,454,京都（日）,7R,7,4-6,0.6504784460768458,4-6,0.4793147388404715,0.6012776561757257,0.33387914479848685,"勝負度が高めのレースです。 堅い決着が見込まれるレースです。 本命は 4-6。 EV=0.48, p_hit=0.296 とバランスが良好です。 次点候補は 6-3。 EV=0.29。 適度なリスクで、標準的な賭け方が適しています。",京都7R
202605100807,6,3,0.5368403561496542,0.362774917272384,0.258751576856334,5.0,0.2937578842816701,wide,0.258751576856334,0.1779779574298277,0.2932906347043121,397,京都（日）,7R,7,6-3,0.5947835938778456,6-3,0.4793147388404715,0.6012776561757257,0.33387914479848685,"勝負度が高めのレースです。 堅い決着が見込まれるレースです。 本命は 4-6。 EV=0.48, p_hit=0.296 とバランスが良好です。 次点候補は 6-3。 EV=0.29。 適度なリスクで、標準的な賭け方が適しています。",京都7R
202605100812,3,2,0.4365410873099111,0.6045852416080514,0.3548390495333677,5.0,0.7741952476668386,wide,0.3548390495333677,0.1782772082739284,0.4022838358864049,544,京都（日）,12R,12,3-2,0.7332847452451996,3-2,0.7741952476668386,0.5727675279287426,0.39924910898461496,"勝負度が高めのレースです。 堅い決着が見込まれるレースです。 本命は 3-2。 EV=0.77, p_hit=0.355 とバランスが良好です。 次点候補は 13-2。 EV=0.38。 適度なリスクで、標準的な賭け方が適しています。",京都12R
202605100812,13,2,0.357823414695694,0.6045852416080514,0.2767489264206931,5.0,0.3837446321034654,wide,0.2767489264206931,0.256367331386603,0.3299609642186284,424,京都（日）,12R,12,13-2,0.6160910723058928,13-2,0.7741952476668386,0.5727675279287426,0.39924910898461496,"勝負度が高めのレースです。 堅い決着が見込まれるレースです。 本命は 3-2。 EV=0.77, p_hit=0.355 とバランスが良好です。 次点候補は 13-2。 EV=0.38。 適度なリスクで、標準的な賭け方が適しています。",京都12R
202605100506,5,6,0.4649136477144522,0.4136595245506507,0.2547118500599635,5.0,0.2735592502998174,wide,0.2547118500599635,0.0521530338868209,0.2646748468706276,391,東京（日）,6R,6,5-6,0.5757479274457784,5-6,0.2735592502998174,0.5364124034463755,0.3013738019872078,"やや勝負度があるレースです。 堅い決着が見込まれるレースです。 本命は 5-6。 EV=0.27, p_hit=0.255 とバランスが良好です。 次点候補は 7-5。 EV=0.25。 適度なリスクで、標準的な賭け方が適しています。",東京6R
202605100506,7,5,0.407523530604461,0.4649136477144522,0.2499978233564774,5.0,0.2499891167823873,wide,0.2499978233564774,0.0582927271376138,0.2609276145329148,383,東京（日）,6R,6,7-5,0.5686733566589148,7-5,0.2735592502998174,0.5364124034463755,0.3013738019872078,"やや勝負度があるレースです。 堅い決着が見込まれるレースです。 本命は 5-6。 EV=0.27, p_hit=0.255 とバランスが良好です。 次点候補は 7-5。 EV=0.25。 適度なリスクで、標準的な賭け方が適しています。",東京6R
202605100809,13,6,0.4291382107437528,0.4853821884658888,0.2814370517754476,5.0,0.407185258877238,wide,0.2814370517754476,0.0578063446340514,0.2936386871812398,432,京都（日）,9R,9,13-6,0.6140326538469529,13-6,0.407185258877238,0.5272969388137205,0.3683089831214386,"やや勝負度があるレースです。 堅い決着が見込まれるレースです。 本命は 13-6。 EV=0.41, p_hit=0.281 とバランスが良好です。 次点候補は 4-6。 EV=0.25。 適度なリスクで、標準的な賭け方が適しています。",京都9R
202605100809,4,6,0.3914387729557467,0.4853821884658888,0.2508791627812292,5.0,0.2543958139061459,wide,0.2508791627812292,0.0955191256155815,0.2688519814792532,385,京都（日）,9R,9,4-6,0.568172932978837,4-6,0.407185258877238,0.5272969388137205,0.3683089831214386,"やや勝負度があるレースです。 堅い決着が見込まれるレースです。 本命は 13-6。 EV=0.41, p_hit=0.281 とバランスが良好です。 次点候補は 4-6。 EV=0.25。 適度なリスクで、標準的な賭け方が適しています。",京都9R
