race_id,umaban_1,umaban_2,p_top3_1,p_top3_2,p_hit,odds,ev,bet_type,hit_prob,pair_balance_score,priority_score,stake,place_ui,race_ui,race_no,wide_ui,is_nonstarter_1,is_nonstarter_2,is_nonstarter,return_amount,hit_flag,hit_status,roi,bet_score,selection_ui,max_ev,race_score,difficulty_score,comment,race_label_ui
202605240801,11,16,0.1281073227730367,0.0642072259624836,0.0049542432156896,1.5,-0.985137270352931,wide,0.0049542432156896,0.0443214735801838,0.0051189277355351,1990,京都（日）,1R,1,11-16,0,0,0,0.0,0,はずれ,,0.951635676805958,11-16,-0.985137270352931,0.7581783840297899,0.683733386085353,"勝負度が非常に高いレースです。 やや荒れやすい傾向があります。 本命は 11-16。 EV=-0.99, p_hit=0.005 とバランスが良好です。 次点候補は 13-11。 EV=-1.00。 適度なリスクで、標準的な賭け方が適しています。",京都1R
202605240801,13,11,0.0232065321173228,0.1281073227730367,0.0013883860696664,2.9,-0.9958348417910008,wide,0.0013883860696664,0.0675845153728255,0.0014587611194179,557,京都（日）,1R,1,13-11,0,0,0,0.0,0,はずれ,,0.4478049413719881,13-11,-0.985137270352931,0.7581783840297899,0.683733386085353,"勝負度が非常に高いレースです。 やや荒れやすい傾向があります。 本命は 11-16。 EV=-0.99, p_hit=0.005 とバランスが良好です。 次点候補は 13-11。 EV=-1.00。 適度なリスクで、標準的な賭け方が適しています。",京都1R
202605240401,13,9,0.1654224292551224,0.0479510495127322,0.0047344619962481,2.8,-0.9857966140112556,wide,0.0047344619962481,0.0830590026782896,0.0050293917649681,1902,新潟（日）,1R,1,13-9,0,0,0,0.0,0,はずれ,,0.914410976057791,13-9,-0.9857966140112556,0.7273226446598471,0.7158020843920879,"勝負度が高めのレースです。 やや荒れやすい傾向があります。 本命は 13-9。 EV=-0.99, p_hit=0.005 とバランスが良好です。 次点候補は 10-13。 EV=-1.00。 リスクが高いため、賭け金は控えめが推奨されます。",新潟1R
202605240401,10,13,0.0158128838875811,0.1654224292551224,0.0011831419165694,2.3,-0.9964505742502916,wide,0.0011831419165694,0.0998902704179472,0.0012717801910611,475,新潟（日）,1R,1,10-13,0,0,0,250.0,1,的中,0.5263157894736842,0.4126342266719169,10-13,-0.9857966140112556,0.7273226446598471,0.7158020843920879,"勝負度が高めのレースです。 やや荒れやすい傾向があります。 本命は 13-9。 EV=-0.99, p_hit=0.005 とバランスが良好です。 次点候補は 10-13。 EV=-1.00。 リスクが高いため、賭け金は控えめが推奨されます。",新潟1R
202605240404,5,1,0.0510234908861776,0.1103773797641447,0.0030856225983926,1.9,-0.990743132204822,wide,0.0030856225983926,0.0393708887058075,0.0031767353763247,1239,新潟（日）,4R,4,5-1,0,0,0,210.0,1,的中,0.1694915254237288,0.6749426122420913,5-1,-0.990743132204822,0.6948283396783372,0.548526399626559,"勝負度が高めのレースです。 比較的堅めの決着が期待できます。 本命は 5-1。 EV=-0.99, p_hit=0.003 とバランスが良好です。 次点候補は 1-8。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",新潟4R
202605240404,1,8,0.1103773797641447,0.0349639171094453,0.0019237790827912,2.1,-0.9942286627516262,wide,0.0019237790827912,0.0485018718817417,0.0019937592477429,772,新潟（日）,4R,4,1-8,0,0,0,0.0,0,はずれ,,0.5107822297720669,1-8,-0.990743132204822,0.6948283396783372,0.548526399626559,"勝負度が高めのレースです。 比較的堅めの決着が期待できます。 本命は 5-1。 EV=-0.99, p_hit=0.003 とバランスが良好です。 次点候補は 1-8。 EV=-0.99。 適度なリスクで、標準的な賭け方が適しています。",新潟4R
202605240509,8,1,0.0423931831983361,0.1138739554030792,0.0025449575233645,1.3,-0.9923651274299063,wide,0.0025449575233645,0.0469138671254757,0.0026345028726828,1022,東京（日）,9R,9,8-1,0,0,0,,,未確定,,0.5484374813525215,8-1,-0.9923651274299063,0.444263699398801,0.4454351824049082,"やや勝負度があるレースです。 比較的堅めの決着が期待できます。 本命は 8-1。 EV=-0.99, p_hit=0.003 とバランスが良好です。 次点候補は 6-1。 EV=-1.00。 適度なリスクで、標準的な賭け方が適しています。",東京9R
202605240506,6,9,0.1360404617399741,0.0260064534297928,0.0017257048919243,1.6,-0.994822885324227,wide,0.0017257048919243,0.0721763584188112,0.0018191212130278,693,東京（日）,6R,6,6-9,0,0,0,,,未確定,,0.4288050592184877,6-9,-0.994822885324227,0.4248749928526126,0.5212061596394624,"やや勝負度があるレースです。 比較的堅めの決着が期待できます。 本命は 6-9。 EV=-0.99, p_hit=0.002 とバランスが良好です。 次点候補は 3-6。 EV=-1.00。 適度なリスクで、標準的な賭け方が適しています。",東京6R
202605240506,3,6,0.0165580338265716,0.1360404617399741,0.0009814678414245,3.4,-0.9970555964757264,wide,0.0009814678414245,0.0766803354747943,0.0010379123039281,394,東京（日）,6R,6,3-6,0,0,0,,,未確定,,0.3236495565902634,3-6,-0.994822885324227,0.4248749928526126,0.5212061596394624,"やや勝負度があるレースです。 比較的堅めの決着が期待できます。 本命は 6-9。 EV=-0.99, p_hit=0.002 とバランスが良好です。 次点候補は 3-6。 EV=-1.00。 適度なリスクで、標準的な賭け方が適しています。",東京6R
202605240803,11,1,0.0121180019273027,0.168672176509947,0.0008692067263927,3.3,-0.997392379820822,wide,0.0008692067263927,0.1040740971887467,0.0009370531553824,349,京都（日）,3R,3,11-1,0,0,0,0.0,0,はずれ,,0.2932771643246382,11-1,-0.997392379820822,0.3523215930160815,0.69774538153147,"勝負度は低めで、慎重に扱いたいレースです。 やや荒れやすい傾向があります。 本命は 11-1。 EV=-1.00, p_hit=0.001 とバランスが良好です。 次点候補は 4-1。 EV=-1.00。 適度なリスクで、標準的な賭け方が適しています。",京都3R
