race_id,place_ui,race_no,max_ev,race_label_ui
202605240801,京都,1,-0.985137270352931,京都1R
202605240802,京都,2,-0.997043059874488,京都2R
202605240803,京都,3,-0.997392379820822,京都3R
202605240804,京都,4,-0.9938550996215156,京都4R
202605240805,京都,5,-0.9987844747196116,京都5R
202605240806,京都,6,-0.9949288845111592,京都6R
202605240807,京都,7,-0.9998255419997436,京都7R
202605240808,京都,8,-0.9962861865479808,京都8R
202605240809,京都,9,-0.9952658212444264,京都9R
202605240810,京都,10,-0.9997170006680568,京都10R
202605240811,京都,11,-0.9989417445631212,京都11R
202605240812,京都,12,-0.9979441689817682,京都12R
202605240401,新潟,1,-0.9857966140112556,新潟1R
202605240402,新潟,2,-0.9892366251413204,新潟2R
202605240403,新潟,3,-0.9964846477553692,新潟3R
202605240404,新潟,4,-0.990743132204822,新潟4R
202605240405,新潟,5,-0.9997955088886192,新潟5R
202605240406,新潟,6,-0.9920373383829264,新潟6R
202605240407,新潟,7,-0.9998182300235464,新潟7R
202605240408,新潟,8,-0.9996877559724796,新潟8R
202605240409,新潟,9,-0.9999476746731064,新潟9R
202605240410,新潟,10,-0.9999760511667266,新潟10R
202605240411,新潟,11,-0.9999152202566832,新潟11R
202605240412,新潟,12,-0.9999575197709538,新潟12R
202605240501,東京,1,-0.9987331319908208,東京1R
202605240502,東京,2,-0.9927125972184532,東京2R
202605240503,東京,3,-0.9995920099662052,東京3R
202605240504,東京,4,-0.9927800219778088,東京4R
202605240505,東京,5,-0.9940506762779652,東京5R
202605240506,東京,6,-0.994822885324227,東京6R
202605240507,東京,7,-0.99970764468505,東京7R
202605240508,東京,8,-0.999558898338906,東京8R
202605240509,東京,9,-0.9923651274299063,東京9R
202605240510,東京,10,-0.999950309696175,東京10R
202605240511,東京,11,-0.997543734645904,東京11R
202605240512,東京,12,-0.9999491883877218,東京12R
