race_id,place_ui,race_no,max_ev,race_label_ui
202607120201,函館,1,-0.9624642122728124,函館1R
202607120202,函館,2,-0.9992807225692296,函館2R
202607120203,函館,3,-0.9965956652760294,函館3R
202607120204,函館,4,-0.9980898951073406,函館4R
202607120205,函館,5,-0.998416652936024,函館5R
202607120206,函館,6,-0.998512052327898,函館6R
202607120207,函館,7,-0.996297022552144,函館7R
202607120208,函館,8,-0.9981760020497008,函館8R
202607120209,函館,9,-0.9986168263985168,函館9R
202607120210,函館,10,-0.9993832811244316,函館10R
202607120211,函館,11,-0.9999507886501712,函館11R
202607120212,函館,12,-0.9893876994540908,函館12R
202607121001,小倉,1,-0.9992279840756764,小倉1R
202607121002,小倉,2,-0.9842115039874852,小倉2R
202607121003,小倉,3,-0.999512187615846,小倉3R
202607121004,小倉,4,-0.9989424782294464,小倉4R
202607121005,小倉,5,-0.95763280894535,小倉5R
202607121006,小倉,6,-0.962974535133136,小倉6R
202607121007,小倉,7,-0.9995059432666564,小倉7R
202607121008,小倉,8,-0.9971103480908418,小倉8R
202607121009,小倉,9,-0.9797438555270824,小倉9R
202607121010,小倉,10,-0.9998310087489208,小倉10R
202607121011,小倉,11,-0.9992741120207628,小倉11R
202607121012,小倉,12,-0.9999681225932172,小倉12R
202607120301,福島,1,-0.9925435325542502,福島1R
202607120302,福島,2,-0.996082750129014,福島2R
202607120303,福島,3,-0.9965302372370052,福島3R
202607120304,福島,4,-0.9947804651589628,福島4R
202607120305,福島,5,-0.9969786985199222,福島5R
202607120306,福島,6,-0.999476287982297,福島6R
202607120307,福島,7,-0.9993779351376753,福島7R
202607120308,福島,8,-0.9927739865008348,福島8R
202607120309,福島,9,-0.999367582810441,福島9R
202607120310,福島,10,-0.999774818719044,福島10R
202607120311,福島,11,-0.9999875135122054,福島11R
202607120312,福島,12,-0.9999505422718246,福島12R
