race_id,place_ui,race_no,max_ev,race_label_ui
202606060501,東京,1,-0.9965629353958184,東京1R
202606060502,東京,2,-0.989847570379628,東京2R
202606060503,東京,3,-0.9859194876094614,東京3R
202606060504,東京,4,-0.9828068881861975,東京4R
202606060505,東京,5,-0.980675179724068,東京5R
202606060506,東京,6,-0.9990126705276936,東京6R
202606060507,東京,7,-0.9948847391098647,東京7R
202606060508,東京,8,-0.9985162669878755,東京8R
202606060509,東京,9,-0.991118949907441,東京9R
202606060510,東京,10,-0.9990602236735604,東京10R
202606060511,東京,11,-0.99913318212309,東京11R
202606060512,東京,12,-0.9989590194437826,東京12R
202606060901,阪神,1,-0.991845098290804,阪神1R
202606060902,阪神,2,-0.989257957291445,阪神2R
202606060903,阪神,3,-0.999143828221466,阪神3R
202606060904,阪神,4,-0.997832370512957,阪神4R
202606060905,阪神,5,-0.9700216286706216,阪神5R
202606060906,阪神,6,-0.9970983177695332,阪神6R
202606060907,阪神,7,-0.9946585570015016,阪神7R
202606060908,阪神,8,-0.9959284509649288,阪神8R
202606060909,阪神,9,-0.96681187831905,阪神9R
202606060910,阪神,10,-0.9815478530902556,阪神10R
202606060911,阪神,11,-0.995776418389622,阪神11R
202606060912,阪神,12,-0.9998143719135376,阪神12R
