race_id,place_ui,race_no,max_ev,race_label_ui
202608150701,中京,1,-0.9975616450907232,中京1R
202608150702,中京,2,-0.9941718518410668,中京2R
202608150703,中京,3,-0.9919002162685978,中京3R
202608150704,中京,4,-0.993091856065086,中京4R
202608150705,中京,5,-0.9996478252786122,中京5R
202608150706,中京,6,-0.999796358240156,中京6R
202608150707,中京,7,-0.9963965424962696,中京7R
202608150708,中京,8,-0.9939135992982012,中京8R
202608150709,中京,9,0.6371691402456112,中京9R
202608150710,中京,10,0.9511956899300856,中京10R
202608150711,中京,11,0.6196512346113874,中京11R
202608150712,中京,12,0.885819481076997,中京12R
202608150401,新潟,1,-0.9777815824902988,新潟1R
202608150402,新潟,2,-0.9981191104109812,新潟2R
202608150403,新潟,3,-0.9773610103512164,新潟3R
202608150404,新潟,4,-0.9968700866586532,新潟4R
202608150405,新潟,5,-0.9998134835328126,新潟5R
202608150406,新潟,6,-0.9957403546596986,新潟6R
202608150407,新潟,7,-0.9999517914227304,新潟7R
202608150408,新潟,8,-0.9987830298577868,新潟8R
202608150409,新潟,9,-0.9999040202770662,新潟9R
202608150410,新潟,10,-0.9995705595578426,新潟10R
202608150411,新潟,11,-0.99917041128824,新潟11R
202608150412,新潟,12,-0.999962525089678,新潟12R
202608150101,札幌,1,-0.9927525252848094,札幌1R
202608150102,札幌,2,-0.9216300938046792,札幌2R
202608150103,札幌,3,-0.9969749410335532,札幌3R
202608150104,札幌,4,-0.9947585109172142,札幌4R
202608150105,札幌,5,-0.9964034989313144,札幌5R
202608150106,札幌,6,-0.9994971248442368,札幌6R
202608150107,札幌,7,-0.99932091808025,札幌7R
202608150108,札幌,8,-0.9995644988827542,札幌8R
202608150109,札幌,9,-0.9890153942823956,札幌9R
202608150110,札幌,10,-0.9997814776082424,札幌10R
202608150111,札幌,11,-0.9999630838387928,札幌11R
202608150112,札幌,12,-0.9991323855121884,札幌12R
