race_id,place_ui,race_no,max_ev,race_label_ui
202608160701,中京,1,-0.9911881654360514,中京1R
202608160702,中京,2,-0.987699046526234,中京2R
202608160703,中京,3,-0.9544076716063772,中京3R
202608160704,中京,4,-0.9996505378553284,中京4R
202608160705,中京,5,-0.9999339340965718,中京5R
202608160706,中京,6,-0.99026034051372,中京6R
202608160707,中京,7,-0.9999487536277336,中京7R
202608160708,中京,8,-0.9999636253232368,中京8R
202608160709,中京,9,-0.9995367538722292,中京9R
202608160710,中京,10,-0.9998793529978104,中京10R
202608160711,中京,11,-0.9997831438458276,中京11R
202608160712,中京,12,-0.9999170141577732,中京12R
202608160401,新潟,1,-0.9626171571320498,新潟1R
202608160402,新潟,2,-0.9990144051411104,新潟2R
202608160403,新潟,3,-0.9986328454006692,新潟3R
202608160404,新潟,4,-0.9913491825576456,新潟4R
202608160405,新潟,5,-0.9973140379388932,新潟5R
202608160406,新潟,6,-0.9986529647010264,新潟6R
202608160407,新潟,7,-0.999939165566858,新潟7R
202608160408,新潟,8,-0.9994453382254646,新潟8R
202608160409,新潟,9,-0.9995418570226404,新潟9R
202608160410,新潟,10,-0.9998320093036536,新潟10R
202608160411,新潟,11,-0.999692413836192,新潟11R
202608160412,新潟,12,-0.9999595895438508,新潟12R
202608160101,札幌,1,-0.9846370552564886,札幌1R
202608160102,札幌,2,-0.945883963829253,札幌2R
202608160103,札幌,3,-0.9992303806392072,札幌3R
202608160104,札幌,4,-0.9982668652904848,札幌4R
202608160105,札幌,5,-0.9918813041433364,札幌5R
202608160106,札幌,6,-0.9975956432837806,札幌6R
202608160107,札幌,7,-0.9999477245378032,札幌7R
202608160108,札幌,8,-0.9996261415620094,札幌8R
202608160109,札幌,9,-0.9999762708021944,札幌9R
202608160110,札幌,10,-0.999058390919746,札幌10R
202608160111,札幌,11,-0.9997403614129386,札幌11R
202608160112,札幌,12,-0.9973640921546798,札幌12R
