race_id,place_ui,race_no,max_ev,race_label_ui
202606200201,函館,1,-0.9985730383862884,函館1R
202606200202,函館,2,-0.997686837492656,函館2R
202606200203,函館,3,-0.9998876575943444,函館3R
202606200204,函館,4,-0.999003942946176,函館4R
202606200205,函館,5,-0.9934047063962996,函館5R
202606200206,函館,6,-0.997644743572475,函館6R
202606200207,函館,7,-0.9990205025904492,函館7R
202606200208,函館,8,-0.9959395626504962,函館8R
202606200209,函館,9,-0.9963007301230492,函館9R
202606200210,函館,10,-0.9989416883398248,函館10R
202606200211,函館,11,-0.9999191006926104,函館11R
202606200212,函館,12,-0.9977498664085952,函館12R
202606200501,東京,1,-0.9773224739316893,東京1R
202606200502,東京,2,-0.9953140706776428,東京2R
202606200503,東京,3,-0.9980406143344476,東京3R
202606200504,東京,4,-0.9845447646717695,東京4R
202606200505,東京,5,-0.975916215191875,東京5R
202606200506,東京,6,-0.998363836670516,東京6R
202606200507,東京,7,-0.9984556226745128,東京7R
202606200508,東京,8,-0.9991194303203152,東京8R
202606200509,東京,9,-0.9914981187236024,東京9R
202606200510,東京,10,-0.9994339512735526,東京10R
202606200511,東京,11,-0.9998837273204354,東京11R
202606200512,東京,12,-0.9998932377206514,東京12R
202606200901,阪神,1,-0.9889936764996224,阪神1R
202606200902,阪神,2,-0.9914900886414172,阪神2R
202606200903,阪神,3,-0.9994000587453652,阪神3R
202606200904,阪神,4,-0.999073325037522,阪神4R
202606200905,阪神,5,-0.9950096722388212,阪神5R
202606200906,阪神,6,-0.9995758408049028,阪神6R
202606200907,阪神,7,-0.999253098718938,阪神7R
202606200908,阪神,8,-0.9999496317255558,阪神8R
202606200909,阪神,9,-0.997117614010172,阪神9R
202606200910,阪神,10,-0.9999893023664262,阪神10R
202606200911,阪神,11,-0.999565014236308,阪神11R
202606200912,阪神,12,-0.9999943782186028,阪神12R
