race_id,place_ui,race_no,max_ev,race_label_ui
202608020701,中京,1,-0.9954791216152884,中京1R
202608020702,中京,2,-0.9570084562107326,中京2R
202608020703,中京,3,-0.97928281039056,中京3R
202608020704,中京,4,-0.9995126236654654,中京4R
202608020705,中京,5,-0.992132064372192,中京5R
202608020706,中京,6,-0.9947252106078724,中京6R
202608020707,中京,7,-0.9979810418373688,中京7R
202608020708,中京,8,-0.9992954604806136,中京8R
202608020709,中京,9,-0.9933982327008876,中京9R
202608020710,中京,10,-0.9995468530878016,中京10R
202608020711,中京,11,-0.9929726039454744,中京11R
202608020712,中京,12,-0.9999607692801844,中京12R
202608020401,新潟,1,-0.9984812476131172,新潟1R
202608020402,新潟,2,-0.995225665118527,新潟2R
202608020403,新潟,3,-0.9966100460800544,新潟3R
202608020404,新潟,4,-0.999853508713319,新潟4R
202608020405,新潟,5,-0.9983239916465364,新潟5R
202608020406,新潟,6,-0.9998944907210484,新潟6R
202608020407,新潟,7,-0.9997347315434254,新潟7R
202608020408,新潟,8,-0.999816907934338,新潟8R
202608020409,新潟,9,-0.9999613108778496,新潟9R
202608020410,新潟,10,-0.9993496410981764,新潟10R
202608020411,新潟,11,-0.9997795751566564,新潟11R
202608020412,新潟,12,-0.999881315211078,新潟12R
202608020101,札幌,1,-0.9992514682158424,札幌1R
202608020102,札幌,2,-0.9997124012194007,札幌2R
202608020103,札幌,3,-0.9995889651731196,札幌3R
202608020104,札幌,4,-0.999254082781463,札幌4R
202608020105,札幌,5,-0.9807015786493104,札幌5R
202608020106,札幌,6,-0.999905994288826,札幌6R
202608020107,札幌,7,-0.9985163367920696,札幌7R
202608020108,札幌,8,-0.9999393210508416,札幌8R
202608020109,札幌,9,-0.9995534601412374,札幌9R
202608020110,札幌,10,-0.9953514708984394,札幌10R
202608020111,札幌,11,-0.9984052454712912,札幌11R
202608020112,札幌,12,-0.9987527714755976,札幌12R
