race_id,place_ui,race_no,max_ev,race_label_ui
202605100801,京都,1,-0.980333131381915,京都1R
202605100802,京都,2,-0.9998466812871276,京都2R
202605100803,京都,3,-0.9990954677301178,京都3R
202605100804,京都,4,-0.7960522371405527,京都4R
202605100805,京都,5,-0.999841813904888,京都5R
202605100806,京都,6,-0.9992944523751884,京都6R
202605100807,京都,7,-0.9994497573969472,京都7R
202605100808,京都,8,-0.9992299810071702,京都8R
202605100809,京都,9,-0.9978139214407294,京都9R
202605100810,京都,10,-0.9957754581294584,京都10R
202605100811,京都,11,-0.9995388635723887,京都11R
202605100812,京都,12,-0.9997961952553894,京都12R
202605100401,新潟,1,-0.992648987825086,新潟1R
202605100402,新潟,2,-0.9990692886256536,新潟2R
202605100403,新潟,3,-0.9972403060362764,新潟3R
202605100404,新潟,4,-0.9995038504663892,新潟4R
202605100405,新潟,5,-0.999985211534845,新潟5R
202605100406,新潟,6,-0.9998047396301118,新潟6R
202605100407,新潟,7,-0.9997184265203868,新潟7R
202605100408,新潟,8,-0.9997587572415014,新潟8R
202605100409,新潟,9,-0.999975139214004,新潟9R
202605100410,新潟,10,-0.9999791547792468,新潟10R
202605100411,新潟,11,-0.9999741654554652,新潟11R
202605100412,新潟,12,-0.999472073409203,新潟12R
202605100501,東京,1,-0.999006874334164,東京1R
202605100502,東京,2,-0.9987460756190152,東京2R
202605100503,東京,3,-0.9987386228423888,東京3R
202605100504,東京,4,-0.9956924657696592,東京4R
202605100505,東京,5,-0.9999073458843686,東京5R
202605100506,東京,6,-0.9792258385711552,東京6R
202605100507,東京,7,-0.999705880382652,東京7R
202605100508,東京,8,-0.9996009638850528,東京8R
202605100509,東京,9,-0.9986951519641696,東京9R
202605100510,東京,10,-0.9994397921183942,東京10R
202605100511,東京,11,-0.9999844287532752,東京11R
202605100512,東京,12,-0.99990496475318,東京12R
